"Fertility, by age, by state",,,,,,,,,,,
Measure: Births,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,
,,,,,,,,,,,
Time Period,Time Period,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Region,,,,,,,,,,,
Age: All ages,,,,,,,,,,,
Australia,,104,111,176,140,152,164,169,174,215,228
·  New South Wales,,41,48,54,61,56,60,46,62,67,92
·  Victoria,,23,31,55,27,44,45,55,44,54,54
·  Queensland,,19,14,30,21,24,26,27,19,32,27
·  South Australia,,6,7,17,12,10,12,16,21,23,25
·  Western Australia,,12,8,13,8,15,15,15,22,26,24
·  Tasmania,,4,2,2,1,2,3,7,3,6,3
·  Northern Territory,,0,0,0,1,2,0,0,0,3,1
·  Australian Capital Territory,,4,0,4,2,0,2,4,2,2,4
Age: 45,,,,,,,,,,,
Australia,,59,67,102,70,83,92,89,100,113,121
·  New South Wales,,19,31,33,31,26,33,24,41,37,49
·  Victoria,,16,18,27,17,26,24,34,19,25,23
·  Queensland,,14,9,17,7,13,16,14,12,18,13
·  South Australia,,4,3,13,7,8,9,2,12,8,16
·  Western Australia,,5,3,8,4,8,5,7,13,17,17
·  Tasmania,,0,1,2,4,2,2,3,0,3,2
·  Northern Territory,,0,0,0,2,4,0,0,0,2,0
·  Australian Capital Territory,,4,0,1,4,0,2,1,4,0,1
Age: 46,,,,,,,,,,,
Australia,,30,31,36,40,38,45,42,42,48,63
·  New South Wales,,15,12,11,18,16,17,11,11,14,23
·  Victoria,,5,9,13,7,13,9,10,13,11,20
·  Queensland,,1,1,5,8,5,7,7,1,8,11
·  South Australia,,2,2,3,1,0,4,6,8,7,5
·  Western Australia,,1,2,1,4,3,9,5,6,5,3
·  Tasmania,,3,4,0,1,1,0,2,1,3,0
·  Northern Territory,,0,0,0,0,0,0,0,0,0,4
·  Australian Capital Territory,,0,0,1,1,0,2,1,4,2,0
Age: 47,,,,,,,,,,,
Australia,,10,7,21,19,17,13,14,18,25,23
·  New South Wales,,4,3,5,5,7,5,3,3,7,9
·  Victoria,,3,2,8,2,3,6,4,8,6,6
·  Queensland,,3,4,6,6,3,2,2,4,4,2
·  South Australia,,0,4,4,0,0,2,3,4,2,1
·  Western Australia,,3,2,2,4,3,0,4,2,1,4
·  Tasmania,,0,0,0,4,0,0,0,1,4,2
·  Northern Territory,,0,0,0,1,0,0,0,0,0,0
·  Australian Capital Territory,,0,0,0,2,0,0,0,0,1,0
Age: 48,,,,,,,,,,,
Australia,,1,2,9,8,6,6,8,7,11,8
·  New South Wales,,3,1,2,5,2,1,2,2,2,3
·  Victoria,,3,1,1,0,0,3,1,4,3,1
·  Queensland,,0,0,3,0,2,4,3,3,2,4
·  South Australia,,0,0,0,2,1,0,3,0,1,3
·  Western Australia,,0,0,1,3,2,3,3,4,0,0
·  Tasmania,,0,0,0,2,0,0,0,0,0,0
·  Northern Territory,,0,0,0,0,0,0,0,0,0,0
·  Australian Capital Territory,,0,0,3,0,0,0,0,0,0,0
Age: 49,,,,,,,,,,,
Australia,,2,2,8,1,8,8,16,7,18,13
